DistrictID,District,DistrictCode,DistrictShortName,StateID,StateCode,MDDS_Code,GISid,IsDeleted,CreatedOn,CreatedBy,Sequence,UpdatedOn,UpdatedBy,DistrictPCode
280,Barpeta,280,NULL,18,18,NULL,NULL,0,11/2/2024 18:51,1,NULL,NULL,NULL,117
297,Nagaon,297,NULL,18,18,NULL,NULL,0,11/2/2024 18:51,1,NULL,NULL,NULL,118
16,Chamba,16,,2,2,,,,,,,,,
23,Shimla,23,,2,2,,,,,,,,,
324,Deoghar,324,,20,20,,,,,,,,,
331,Gumla,331,,20,20,,,,,,,,,
529,Bidar,529,,29,29,,,,,,,,,
538,Kalaburagi,538,,29,29,,,,,,,,,
404,Dindori,404,,23,23,,,,,,,,,
432,Shivpuri,432,,23,23,,,,,,,,,
479,Jalna,479,,27,27,,,,,,,,,
665,Palghar,665,,27,27,,,,,,,,,
352,Dhenkanal,352,,21,21,,,,,,,,,
361,Kendujhar,361,,21,21,,,,,,,,,
32,Gurdaspur,32,,3,3,,,,,,,,,
609,Tarn Taran,609,,3,3,,,,,,,,,
27,Amritsar,27,,3,3,,,,,,,,,
87,Alwar,87,,8,8,,,,,,,,,
88,Banswara,88,,8,8,,,,,,,,,
774,Beawar,774,,8,8,,,,,,,,,
91,Bharatpur,91,,8,8,,,,,,,,,
93,Bikaner,93,,8,8,,,,,,,,,
96,Churu,96,,8,8,,,,,,,,,
98,Dholpur,98,,8,8,,,,,,,,,
99,Dungarpur,99,,8,8,,,,,,,,,
111,Pali,111,,8,8,,,,,,,,,
